Bike Type,Age Range,Wheel Size,Number of Speeds,Brake Style,Frame Material,Suspension Type,Review,review_word_count,Has_Relevant_Attribute_Info,Attribute_Related_Content,Synthesized_Customer_Needs
2,3,1,2,2,0,0,"After reading some of the reviews I had concern, but I'm extremely happy with the purchase of the Yamee Fat boy 750s. It was delivered issue-free in a little less than a week on the east coast. Box and contents were not damaged. The bike is great works just as stated and shown in the dozen videos on YouTube. It was packaged just like online video shows bagged inside another bag that's foam filled.<br />Love riding it everyday.<br />Some of my original concern was the  reviews of customer service but actually contacted the customer service twice before purchase asking questions and concerns I had and they were answered quickly by the next day and we're very friendly and helpful.<br />My biggest want was figured out. The bike folded does fit in the not large trunk of my 2019 Tesla Model 3, with body in first tires last and back seats down. Perfect for travel. May bungee folded body for easier lifting and guiding in trunk.",165,Yes,"Bike Type: Electric Bikes
Age Range of bicycle rider: Adult
Suspension Type: Rigid","The bicycle is suitable for adult riders.  
The bicycle is electric.  
The bicycle has a rigid suspension."
0,2,1,4,2,3,0,"In the bike shop twice already, and it’s never been ridden. Out of the box it was difficult to assemble, the wheel was bent and the brake rubbed, so we took it to the bike shop to make sure it was put together correctly. Got it home and the next day the back tire was completely deflated, so we took it back and the tire tube had to be replaced. Very disappointing.",72,Yes,"Bike Type: No
Age Range: No
Wheel Size: No
Number of Speeds: No
Brake Style: Brake rubbed
Frame Material: No
Suspension Type: No",The brake rubbing is acceptable.
1,3,2,2,3,0,1,Fun bike<br />after upgrading seat and raising handle bars It has been more than expected.I’m a big guy 64 yrs old 6’1 240lb and it has been getting me up hills that my first e bike could not.<br />I would like to try and get bigger tires though.,48,Yes,"Bike Type: Electric Bikes
Age Range of bicycle rider: Adult
Frame Material: Aluminum","The bicycle needs to be suitable for adult riders.  
The bicycle needs to be an electric bike.  
The bicycle needs to have an aluminum frame."
2,0,0,0,0,1,2,"This is a great bike and my grandson loved it.  However, it was too small for him so we had to return.  You do need to size these bikes appropriately to fit them now and for at least a year more.",41,Yes,"Age Range of bicycle rider: too small for him, size these bikes appropriately to fit them now and for at least a year more",The bicycle should fit the rider comfortably now and continue to fit for at least a year.
1,3,2,2,3,0,2,"This bike changed everything for me!  I bike to the metro station to work,  bike to the coffee shop on weekends, or just take a leisurely ride around town.  I usually only use the assist on big hills and steep inclines, so I still get some exercise when I want to.  I did have some trouble putting it together and had to get it assembled at a bike shop, but I sent the receipt to the sixthreezero company and they reimbursed me for it. The ride is smooth, and it's easy to get used to the feel of it. Plus,  I loooove the retro look of it!",107,Yes,"Bike Type: Electric Bikes
Brake Style: Coaster / Foot Brakes","The bicycle needs to be an electric bike.  
The bicycle needs to have coaster or foot brakes."
1,3,3,4,3,1,0,"My husband gifted me this bike because of my health issues.  It’s quiet and smooth. I’m over 300 pounds and fit comfortably in the seat. Only thing is I wish it had a light-up screen and an actual recovery mode. Overall, great bike to help me get healthier.",48,Yes,"Bike Type: Electric Bikes
Age Range of bicycle rider: Adult
Brake Style: Coaster / Foot Brakes","The bicycle needs to be an electric bike suitable for adults.  
The bicycle needs to have coaster or foot brakes."
1,3,2,2,3,0,0,This is my first e-bike and I am enjoying it. I ride around town and it does great. Easy to ride. Also the quality and price is good. Although I’ve been riding it for little less than 2 months the brakes seem as if they are not as good from the start.,52,Yes,Brake Style: brakes seem as if they are not as good,The brakes are acceptable even if they do not feel as effective as expected.
2,2,0,0,1,0,2,"I got this balance bike for my 26 month old daughter, and she was pretty happy about it. This is her first balance bike and hopefully the last one. I'm highly satisfied with the quality of this bike. It's very well made, using nice material to make it more durable and sturdy. This brand never disappointed me as its products are always high quality. The assemble part was relatively easy and straight-forward, reading the instructions carefully helped a lot. I love that the seat is adjustable, so we can adjust the height as she gets taller. Overall, I am happy with this bike. Although it's a little pricey, you get what you pay for, and the quality is worth this price. Would recommend this to others!",126,Yes,"Age Range of bicycle rider: Preschool
Frame Material: nice material (implied durable and sturdy)","The bicycle is suitable for preschool-aged children.  
The bicycle is durable and sturdy."
2,1,1,0,0,1,2,"Good first bike for a little guy, in my case a 7 year old. It has the option of the training wheels which are good to get started but shouldn’t stay on too long. Nice minty green with a natural color seat. Chain protector is good for the kid that somehow finds themselves tangled in such a thing.  Easily adjustable for different height. The little grip on the back is nice for holding onto whilst teaching the little one.  I guess I have to get myself a bike now.",89,Yes,Age Range of bicycle rider: 7 year old,The bicycle is suitable for a 7-year-old rider.
3,3,2,1,0,1,0,"Great bike! Was concerned it might be a bit big for 5'7&#34; 170-lb me.....but fits perfect. The three speed is perfect for flat/slight hills. I'm no mechanic, but with a couple metric Allen wrenches and crescent wrenches, I had it out of the box and on the road in less than an hour. 5-day delivery to east coast and arrived in great condition. Beachbikes.com sent both a welcome email and an email from my assigned mechanic, with clearly detailed directions....easy to follow. Gonna get a Firmstrong bike for my wife!",90,Yes,"Bike Type: Beach cruiser (inferred from ""Beachbikes.com"")
Age Range: Adult (inferred from rider's height and weight)
Number of Speeds: 3","The bicycle should be suitable for adult riders.  
The bicycle should have multiple speeds for varied terrain."
3,1,1,0,3,0,2,Very nice quality bike for my son who is five years old he’s bigger for a five-year-old though. I was very easy to assemble and came with all the parts. He rides his bike every day and absolutely loves it I definitely recommend it if you are considering for your child shipping was very fast,55,Yes,Age Range of bicycle rider: five years old,The bicycle is suitable for a five-year-old rider.
3,1,1,0,1,1,0,My son was a little apprehensive about going to a bike without a coaster break but he caught on quick and absolutely loves the bike.  Everything works great and has been very durable so far. He’s already punctured the tube but that’s normal in my option. The tires haven’t been low quality as others have reported.,56,Yes,Brake Style: coaster break,The bicycle has a coaster brake.
3,3,2,2,3,0,0,"[[VIDEOID:7f4ac03f4a830a48ea35788dd0287592]] It required 3 hours to assemble this bike only to discover that it is not safe to ride.  The rear electric hub wobbles which results in a periodic bump.  Also, the latch on the battery will not allow the battery to attach to the mounting rail. It will require another hour to pack the bike to ship back.  Right now, it appears that I will pay for the high cost of shipping.  I contacted the seller and did not get any assistance with the defects.<br />Do not purchase this electric bike!",92,Yes,"Bike Type: Electric Bikes
Brake Style: Disc Brakes","The bicycle needs to be an electric bike.  
The bicycle needs to have disc brakes."
3,1,1,0,1,1,0,"Great looking bike - was a present for our nine year old grandson for his Birthday.  Said it was the BEST Birthday present EVER!  Shortly after I ordered it, noticed prices for similar bikes went sky high!  Thanks for a reasonable gift that he loves!",45,Yes,Age Range of bicycle rider: nine year old,The bicycle is suitable for a nine-year-old rider.
0,3,2,4,3,0,2,"The bike came in perfect condition.  Assembly was straightforward and tuning the brakes and derailers was easy.  The bike size is perfect for me (6', 170 lbs).  The shifters work flawlessly.  I love the looks of the bike, and more importantly, the ride.  I accidentally knocked my bike over after assembly and broke part of the rear reflector arm (only the middle piece).  I contacted customer support and not only did they send me an entire new reflector assembly, they also included a bike repair kit!  So 5 stars for the bike and 6 stars due to exceptional, and what is becoming RARE, customer service!  Backstory:  I bought this bike for personal fitness, mostly because I can't bear to stay in one spot in a gym expending energy without moving.  What a difference a few weeks riding can make on heart rate, body weight, energy, and endurance.  I'll borrow a quote from Freddy, ""Get on your bikes and ride!""  :-)",160,Yes,"Bike Type: Road Bikes
Age Range of bicycle rider: Adult
Wheel Size: 
Number of Speeds: 
Brake Style: 
Frame Material: 
Suspension Type:","The bicycle is suitable for adult riders.  
The bicycle is designed for road use."
1,2,0,2,3,0,2,"Reading the 1 star reviews I don't agree with any of them. The battery lasts fairly long and can last longer if you don't always have it on full blast! The bike has fast pick up and it goes around 18 miles an hour, not 11. The folding is very easy and I guess it's heavy but it's also a solid bike with a frame that's literally a handle so I felt moving it around and folding it was very easy. Meaning, this bike was designed with commuting in mind and is very effective. I had a folding bike before and this one is easier. I love the headlight and it's a comfortable ride. The bike is useable without power BUT the small wheels limit the amount of joy in riding it without power. The gears help a little but small wheels are small wheels. No matter how many gears you stick on it, you'll only go so far per rotation so it only goes so fast. I felt the ride on full throttle was comparable to an e-scooter. Oh and it will get you up a very steep hill. You can also use the peddling to compensate if the hill is super steep. I rode it up the side of a mountain road.  WHY did I return it and only give it four stars?  Brakes squeak like crazy. Support told me ways to adjust but I don't want a new bike that I had to fix. If the next one squeaks I like the bike enough that I'll keep it and work through the squeak but that was a real bummer. Other than that I really like it. Another bonus is that the battery and light are built into the frame so nobody can really steal anything off you. Again, they thought of a lot to make this a great commuter bike.<br /><br />Update--got a new bike and the brakes do not squeak! So I was sent a bad bike.<br /><br />Update 2--two years later. Added a bike rack for a saddle bag and also a post for a trailer/and a bike trailer. Both of them work well with the bike. The bike was getting flats more than normal so my bike guy put in that no flat foam (green) and I haven't had flat in over a year of daily use. Brakes will go every five months. This might have to do with the fact that I am always driving this on high speed and the brakes have to slow it down. Other than that I still think it's a great bike. I would like maybe a bike with bigger wheels but then it defeats the purpose of the small size. On that note I did buy a bag to put the bike in when it's folded, which is great for ubers and buses if anyone gives you any crap just say it's an English horn. And finally, I did have a battery issue which was making the bike jolt. Customer service walked me through what might be wrong. I bought a replacement battery and the problem went away. Customer service isn't bad. They guy on the phone just doesn't come off as chatty but he knows what you're talking about and will help you out. If you do need to send it back they will pay for delivery shipping after they fix it (post warranty) but not to send it to them. It's actually cheaper to ship to them then take it to a local place because many places don't have the parts for this bike. That being said, Swagtron does have parts issue if you have an older version of the bike. They released different types of these bikes but they look the same and are called the same model.",634,Yes,"Bike Type: Electric Bikes
Wheel Size: small wheels
Number of Speeds: gears
Brake Style: Brakes squeak","The bike should be electric.  
The bike should have small wheels.  
The bike should have gears.  
The bike should have brakes that squeak."
0,1,1,4,1,1,1,"Great bike for the price point. My 9 yr old uses the bike often for dirt and street use. No problems at all as long as the bike is regularly maintained. If you want a good entry level mountain bike, this is a great choice.",45,Yes,"Age Range of bicycle rider: 9 yr old
Bike Type: mountain bike","The bicycle is suitable for a 9-year-old rider.  
The bicycle is a mountain bike."
1,3,3,4,3,1,0,"This bike blew me away, for the price it is on the lower end of recumbent bikes but it feels very polished and works great. I was resitant to get this since I made the mistake of buying a cheap upright stationary bicycle (from another manufacturer) a while back and had an awful experience, I was very pleasantly surprised to find that this experience was nothing like that.<br /><br />THE BIKE:<br />The bike is quite comfortable, I have a history of back injuries that prevents me from using upright bikes but I found this seat to be quite comfortable, similar to a mesh office chair. I like the mesh better than the faux-leather seat that a lot of commercial recumbent bikes have because it actually lets some air flow around you, instead of just collecting a pool of sweat. It's not hard to clean either since nothing absorbs into the mesh.<br /><br />THE FEATURES:<br />The features on the head unit are admittedly not super advanced, it doesn't do fancy graphs and metrics like some of the commercial bikes (which of course run 3 times the price) but it has speed and distance which is really all I care about. It gives enough info to compare ride to ride that I'm perfectly happy with it.<br /><br />THE PETALS:<br />The petals were a little weird at first, they're very wide and the straps are a little awkward. They took a little getting used to but they work fine. I don't find myself fully engaging the straps very often so I may just remove them entirely (which would not be difficult).<br /><br />ASSEMBLY:<br />Assembly was not the quickest as there are lots of pieces, but the instructions were easy enough to follow that I didn't find myself stuck at any point. One things that was a little weird was that the package of screws had labels on one side, but the screws were accessed from the opposite side of the package, so I found myself flipping it back and forth a bunch trying to send screws flying everywehre just to figure out which size screw I needed for each step. In hindsight I should have just written the label on the back of the packaging. It worked but was a little frustrating.<br /><br />ADJUSTABILITY:<br />I'm 6'-0"" and I fit just fine into this bike with room to slide the seat in either direction for a shorter/taller person. If I had to estimate I'd say someone up to about 6'-4"" could probably fit this.<br /><br />SUMMARY:<br />All in all I'm super happy with this and would definitely recommend it. It doesn't have all the bells and whistles that the high end ones do but it works great, sits comfortably, and is a great addition to my home gym.",464,Yes,"Bike Type: recumbent bikes, upright stationary bicycle, recumbent bikes  
Age Range: Adult  
Suspension Type: Rigid","The bike is suitable for adults.  
The bike is available in recumbent and upright stationary styles.  
The bike has a rigid suspension."
2,0,0,0,1,1,1,"This is a really nice bike. The quality is great the paint is shiny, everything works! I got it much sooner than expected. I have 2 little girls and already have a specialized hotrock, which is also nice but you get much more with the bikestar (rack,basket, fenders, bell, front brake, solid chain guard). Compared to the specialized I would say the wheelbase is longer so it should be more stable and have more room to grow. Would recommend this bike to anyone.",83,Yes,"Bike Type: Children's Bike  
Age Range of bicycle rider: little girls  
Wheel Size: longer wheelbase  
Brake Style: front brake","The bicycle should be suitable for little girls.  
The bicycle should have a longer wheelbase.  
The bicycle should include a front brake."
1,3,2,4,3,0,0,This bike I have wrecked 2 times it hurts how ever if you save the battery and fall with style it still works even after I broke the brake lever replaced it and had to unplug it do to an error 25 and wrap the wires but otherwise it works grate and I am glad I picked this bike the pas on 5 is awesome and I barley have to push to go thank you for a rough bike for a rough person didn't brake nothing so that's good the bike is half my body wait so yeah its heavy but worth the ride it gives its perfect for those with limited ability and is fun thank you thank you thank you don't make a paper wait out of your battery always save it with your legs,137,Yes,"Bike Type: Electric Bikes  
Brake Style: replaced the brake lever","The bike needs to be an electric bike.  
The brake lever needs to be replaced."
2,0,0,0,0,1,2,This bike is heavy for my very tall three year old. I got a freestyle bike because my daughter has no fear and could take it to the skate park or trail. The color white to pass it down to her brother later. The bike is heavy and the peddling is different. I can't imagine going up and down ramps due to the weight of it but we will see.,70,Yes,"Bike Type: Freestyle Bike
Age Range of bicycle rider: Three year old
Frame Material: Heavy","The bicycle should be suitable for freestyle riding.  
The bicycle should be appropriate for a three-year-old rider.  
The bicycle's frame material being heavy is acceptable."
1,3,2,4,3,0,0,"This is if not one of then it is The Best thing I have ever spent my money on. Its easy to assemble literally took 25min. The speeds 1-3 are ideal for any terrain from flat to like 50° angle steep, speed 4 to 5 are the speeds they use in fast &the furious movies. The only thing I would add is take i to a bike shop to fix any details you may not know to be safe.",79,Yes,"Bike Type: Road Bikes
Number of Speeds: 5","The bicycle should be suitable for road cycling.  
The bicycle should have multiple speeds for varying terrain."
2,0,0,0,0,1,2,"I couldn't have imagined a more impressive intersection between high-quality construction and ease of assembly. It took me about 15 minutes from box open to first ride to put this bike together, and that included mounting and calibrating the training wheels. I was pleasantly surprised!<br /><br />A trade-off of the high quality, though, is that the bike is solidly heavy, and a bit difficult for my almost-five-year-old to get started; he'll be riding it for years, though, so I'm not too concerned about it. The brakes are amazing, the seat's comfortable, everything is adjustable as it should be, just all around great. My other issue is the front handlebar reflector being off-center, perhaps make it so it fits over where the handlebars attach rather than off to the side?",129,Yes,"Bike Type: 
Age Range of bicycle rider: Preschool, Children
Brake Style: 
Frame Material:",The bicycle is suitable for preschool and children riders.
2,1,1,0,0,1,2,We got this for our just turned three year old last Easter and it’s held up great. He rides all the time and absolutely loves it. It’s pretty heavy is probably my only complaint. But it looks slick and rides super well and my son loves it. Planning to hand it down to my daughter too it’s in such great condition even after a lot of use.,67,Yes,"Age Range of bicycle rider: Preschool
Frame Material: Steel","The bicycle is suitable for preschool-aged children.
The bicycle frame is made of steel."
1,3,2,2,3,1,1,"I was very excited to receive my bike but unfortunately my experience has become a nightmare.  The front fork is defective and improperly welded which prevents the wheel from even being place on the fork.  I thought - hey I can just return this and get a replacement! Easy, right? Wrong.  Customer service is entirely unreachable and the return policy is insane.  Despite their failure to deliver a functional bike, the refund deducts shipping costs and places the *cost of return* of the bike on the customer - which is another $200.  So $400 total just to return this bike.  Its a total scam.",104,Yes,"Bike Type: 
Age Range of bicycle rider: 
Wheel Size: 
Number of Speeds: 
Brake Style: 
Frame Material: 
Suspension Type: Front / Rear Suspension Only","The bicycle is suitable for the intended rider's age range.  
The bicycle has the appropriate wheel size for the rider.  
The bicycle offers the desired number of speeds.  
The bicycle features the preferred brake style.  
The bicycle is constructed from the expected frame material.  
The bicycle's suspension type, whether front, rear, or both, is acceptable."
2,0,0,0,1,1,1,"[[VIDEOID:f9fa9f49ce345fb4d905d8b780a2e9bc]] I am a huge supporter of balance bikes. We got balance bikes for our children and they all were able to ride bikes without training wheels much earlier than most children - we have 3 kids. Our second and third had balance bikes at 18 months and were riding full bikes without training wheels before 4 years. The posted video is my daughter riding a bike with no training wheels at 3 years 9 months old.<br /><br />What I like about Schwinn:<br />Good quality<br />Soft seat is comfortable<br />What I dislike:<br />Heavier than Strider, so kids couldn’t pick up as easily.<br /><br />We had both a Strider and Schwinn balance bike. If I were making a choice and price was fairly similar I would choose Schwinn fir the comfort of the seat.",133,Yes,"Bike Type: balance bikes
Age Range of bicycle rider: children, 18 months, before 4 years, 3 years 9 months old",The bicycle should be suitable for children as young as 18 months and remain appropriate for use up to around 4 years old.
0,3,3,3,2,1,2,"Amazon sent the bike to a Florida address and then another shipper shipped the bike to Jamaica. I received the bike damaged. The frame was bent where the rear deraileur is attached to the frame, forcing the deraileur into the rear wheel spokes. The crank, chain, gears, deraileur, and rear wheel are all unable to rotate.  The front deraileur spring arrived dislocated and I have been unable to re-attach it, so the front deraileur is also unworkable. The front wheel does not turn freely on its shaft. It is as if the bearings are damaged. I am unable to guess where and how these damages could have occurred. Some bolts and nuts on the bike are made of PLASTIC! The plugs in the ends of the handlebars fall out without being touched. The front reflector was not made for this bike and does not fit. The bike does look nice and the price is good.",155,Yes,"Bike Type: Road Bikes (implied by mention of derailleurs and gears)
Frame Material: (implied damage to frame, but material not specified)
Suspension Type: Rigid (implied by no mention of suspension and focus on frame/wheel issues)",The bicycle should be durable enough to withstand regular use without damage to the frame. The bicycle should provide a smooth and reliable riding experience without issues related to the wheels or gears. The bicycle should have a derailleur and gearing system that functions correctly.
3,1,1,0,2,1,0,"Dad of the little girl who will be riding this bike writing this review.<br /><br />We purchased this bike because my daughter loved the color. It had to be pink.<br /><br />I received the bike today and it took me 3 hours to get it worthy of riding. I literally disassemble and reassemble the bike down to the ball bearings.<br /><br />Everything on this bike was over tighten. It was like MetRx world strongest man assembled this bike before putting it in the box and shipping. Both axles, crank bearings, and even the steering column bearings was over tighten. The brakes had to be adjusted, but that wasn’t that big of a deal.<br /><br />After finally being satisfied with all the adjustments, my daughter rode it and loved it. It is a great looking bike. I imagine it will last a long time.<br /><br />I would give it 4-5 stars, but having to go through all that dinged the rating.",160,Yes,Brake Style: The brakes had to be adjusted,The brakes should be easy to adjust.
0,1,1,4,1,0,1,"Though it was a bit of a challenge to put together (especially adjusting the derailleurs--but I think that's because it was my first time making those adjustments), it performed great for our 9-year old last summer and was ready to go once we had some major melting this spring.",49,Yes,Age Range of bicycle rider: 9-year old,The bicycle is suitable for a 9-year-old rider.
