Screen Size,Display Type,Special Features,Waterproof Rating,Battery Life,Target Audience,Review,review_word_count,Has_Relevant_Attribute_Info,Attribute_Related_Content,Synthesized_Customer_Needs
2,0,"Light and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness braceletLight and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness bracelet  See more",2,1,Unisex Adult,"I like it, but it is too easy to knock off your wrist.  Should have a regular buckle like Fitbit.  Also. the heart rate monitor is difficult and slow to activate.  But the display is large and bright and I love the ability to control music playback right on my wrist, and see text messages immediately.",56,Yes,"Screen Size: large
Display Type: bright","The customer needs a large screen.
The customer needs a bright display."
1,1,,2,0,Women Men Kids,"I’ve had this watch for a couple of weeks now and it is AMAZING! I can go days between charging, and it does virtually everything the Apple Watch can for a fraction of the price. It even looks just like it so there is no way to tell it isn’t the apple product. I have run into a few bumps but have found simple solutions:<br />- the Bluetooth will occasionally disconnect if there isn’t good wifi/data connection, but restarting the watch fixes it.<br />- I recommend opening and syncing the Verifit app with your watch at the end of the day to ensure your fitness data gets transferred. It won’t do it automatically a lot of the time.<br />- the band attachment is hard to find in the size of the watch, which makes finding replacement bands hard. The best solution I found was to get bands that were quick release and order separate pins that were the right size (22 mm).<br /><br />Despite these small issues, I absolutely recommend this for anyone looking for a smart watch and not wanting to spend the money on an expensive one!",189,Yes,Battery Life: I can go days between charging,I need a smart watch that can go days between charging.
2,1,"1)Fashionable Full Touch Screen Design with classic screen and HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear. 3)Excellent hiking watches / outdoor watch 4）All-day activity tracker. (Distance / steps / calories) 5）fitness tracker (breathing training / blood pressure / heart rate / sleep monitoring)1)Fashionable Full Touch Screen Design with classic screen and HD glass screen (color on-screen display) 2)Adjustable grade silicone strap is healthy, environmentally friendly, and very comfortable to wear. 3)Excellent hiking w…  See more",2,1,Men,"Wow, this watch is really very smart and all its features are excellent and very useful.  Apart from time and days, it also monitors your heart rate and oxygen level in your body.  Connects to your phone via Bluetooth technology and works for days on a single charge thanks to the long-lasting rechargeable battery.  Inshort supports and monitors your daily and many other activities.",64,Yes,Battery Life: works for days on a single charge thanks to the long-lasting rechargeable battery,The customer needs a smart watch that works for days on a single charge.
2,1,"Wireless, Travel, Phone Call, Activity Tracker, Notifications, Blood Pressure Monitor, Heart Rate Monitor, Multisport Tracker, Oxymeter (SpO2), Sleep Monitor, Music Player, Pedometer, Time Display, Calorie Tracker, Distance Tracker, Screen ProtectorWireless, Travel, Phone Call, Activity Tracker, Notifications, Blood Pressure Monitor, Heart Rate Monitor, Multisport Tracker, Oxymeter (SpO2), Sleep Monitor, Music Player, Pedometer, Time Display, Calorie Tracker, Distance…  See more",2,0,"Men,Women","This is the first smart watch I have ever used, and it exceeded my expectation. The set up is easy, and the screen is big and nice looking. You can switch to different screen themes as you want. I use it to monitor my heart rate, record how many steps I walk each day, and I also tried blood oxygen test, blood pressure test. It works pretty well for all the features I tested. The battery life is excellent. There is still about 90% of power left after a day of use. Great value for the price.",97,Yes,"Screen Size: big
Battery Life: excellent, about 90% of power left after a day of use","The customer needs a watch with a large screen.
The customer needs a watch with excellent battery life that retains most of its charge after a full day of use."
1,1,"Fitness Tracker (Pedometer/Calories/Distance), Heart rate monitoring, Sleep Monitor, 25 Sport Modes, Stopwatch, Sedentary Reminder, IP68 Waterproof, Blood Oxygen Monitor, Call Notifications, SMS and APP Messages, 6 levels of Brightness Adjustment, Weather Display, 2 Temperature Unit, Function Page Sort, Drink Water Reminder, GPS tracking, Stopwatch, Timer, Calculator, Alarm Clock, Do Not Disturb/Power-saving Mode, Find watchFitness Tracker (Pedometer/Calories/Distance), Heart rate monitoring, Sleep Monitor, 25 Sport Modes, Stopwatch, Sedentary Reminder, IP68 Waterproof, Blood Oxygen Moni…  See more",2,0,"Men,Women","I instantly fell in love with this product! The watch arrived promptly, within 2 business days. The packaging was great - a high end experience just in opening the box. The build quality is very solid, and greatly exceeds what you would see in lower priced products. The pairing process was easy and intuitive, and the instructions in English were easy to follow to obtain the app and to pair. The graphics on the watchface are high resolution. All of the features such as step counting, sleep tracking, and pulse monitoring all work as expected. The quality of this smartwatch meets or exceeds others I have owned and I will happily use this one proudly. I might have to buy another one for my wife as well, she is telling me.",131,Yes,"Screen Size: 
Display Type: The graphics on the watchface are high resolution.
Battery Life:",The watchface graphics need to be high resolution.
0,2,"Time Display, GPS, Heart Rate Monitor",2,1,Unisex Adult,"I am a loyal Garmin customer and had the original Vivoactive watch for several years.  While it was still working, I did not like the size of the watch and so after some research, decided to go with the Vivoactive 3 with Music.  I have had the watch for a couple of weeks and overall, am pleased with the appearance and performance of the watch.  The music setup is a little tricky and I have had to pair a few times to get the wireless headphones to connect. That being said, Garmin tends to work through these issues with updates based on my previous experience.  The sound quality while running is a little rough, but my Apple Watch (series 3) had similar issues initially, but seemed to get better over time.  In general, if you are looking for a multi sport watch with Garmin reliability and GPS tracking accuracy, this is a great option.  Be prepared to be patient with the music option, but it is moving in the right direction.",171,Yes,Screen Size,The customer needs a screen that is appropriately sized for clear visibility and comfortable interaction.
2,2,Heart Rate Monitor,2,0,"Men,Women",I really like the smart watch it’s light and fits well Dial is big enough which really helps to see things clearly it has lot of features Battery life is long enough overall it was a good purchase and I’m satisfy with it,43,Yes,"Screen Size: Dial is big enough which really helps to see things clearly
Battery Life: Battery life is long enough","The screen is big enough to see things clearly.
The battery life is long enough."
0,2,"Time Display, GPS, Notifications, Heart Rate Monitor, Daily Workout Memory,",2,1,Unisex Adult,"Some of the claims they make about this watch are too much. Battery life? About 2 days, just wearing it around the house. Maybe 3 if you're lucky.  Be thorough in the set up and you'll get great results. I do enjoy knowing about my steps and calories burned, though I'm not sure about it's accuracy. The sleep tracking feature is great!",62,Yes,"Battery Life: About 2 days, just wearing it around the house. Maybe 3 if you're lucky.",The battery lasts for about two to three days with typical home use.
0,2,Activity Tracker,2,0,All,"I've tried a number of cheap smartwatches, and this is the best one yet. It has the longest battery life and is relatively accurate for most readings. Only the blood pressure measure is a much higher than it should be.",40,Yes,Battery Life: longest battery life,The customer needs a smart watch with the longest battery life.
2,0,"Light and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness braceletLight and durable, Heart rate monitor, Wearable tech, Gear fit, Fitness tracker, Gear fitness, Jawbone, Pedometer, Fit Bit, Fitness bracelet  See more",2,1,Unisex Adult,"Great fit, replaced my FitBit with this.  Now I have everything I need on my wrist in one package.  No need for an additional watch and not as bulky as the All in One Samsung Gear Watch.  Sleek and subdued when in sleep mode but bright and brilliant display when using any of the great apps installed.",57,Yes,Display Type: bright and brilliant display,The display needs to be bright and brilliant.
0,2,"Time Display, GPS, Heart Rate Monitor",2,1,Unisex Adult,"I have a Charge 2, and while I like it it seems to be getting worse at monitoring my HR. I'll be gasping for breath and it's showing a HR of 95. Yeah...maybe off by like 100!! So goodbye Fitbit, hello Garmin. I really like the Garmin. It's not too big, super easy to use, the GPS is solid and connects quickly, and the HR monitor works. I only have to charge it every 4th day or so, but I don't use GPS hardly ever so YMMV. Screen is bright, responsive, and it's easy to find what you need quickly. Comfortable to wear while sleeping. It gets a -1 because under a coat or other tight-ish sleeve it's pretty uncomfortable and I'm always tugging at it trying to get it to a position where I won't notice it. Not sure how they'd fix this...better band? Or curve the watch a bit so it doesn't lie flat?",156,Yes,"Battery Life: I only have to charge it every 4th day or so
Screen Size: It's not too big
Display Type: Screen is bright, responsive","I need a smart watch that only requires charging every few days.  
I want a smart watch that is not too large.  
I need a smart watch with a bright and responsive screen."
2,2,"Fitness Tracker, Sedentary Reminder, Activity Tracker, Pedometer, Bluetooth Call, Heart Rate Monitor, blood pressure, sleep monitoringFitness Tracker, Sedentary Reminder, Activity Tracker, Pedometer, Bluetooth Call, Heart Rate Monitor, blood pressure, sleep monitoring  See more",2,1,"Men,Women",I really like to hear this watch. The looks are phenomenal. It almost looks just like another very well known smartwatch named after a fruit. The display is easy to read and it has all types of other feature like step count heart rate and others. The band is very comfy and overall the watch feels like it's made with quality parts and will last. I would recommend it! The battery seems to last quite a bit with regular usage.,80,Yes,"Display Type: easy to read
Battery Life: seems to last quite a bit with regular usage","The display is easy to read.
The battery lasts a long time with regular usage."
2,0,"Time Display, Sleep Monitor, Text Messaging, Pedometer, Calorie Tracker, Notifications, Heart Rate MonitorTime Display, Sleep Monitor, Text Messaging, Pedometer, Calorie Tracker, Notifications, Heart Rate Monitor  See more",2,1,Unisex Adult,After researching for a Newer Band to replace My Fitbit Alta I decided to Get Galaxy Fit! Loved the look and color screen!<br />Didn’t work out for Me!<br />Here is My experience with the Galaxy Fit.<br />Out of the box battery was completely dead. Not that big of a deal but would have thought maybe some battery life to at least turn on and pair! Nope!<br />Put on Charger and took over 2 1/2 hours to charge to 100%!<br />It was Very Easy to pair to IPhone and app!<br />Band for Me was a pain to get on and snug! Hated it but once finally on band was very comfortable!<br />Had it on 24 hours a day and for a few days everything worked well.<br />Battery lasted about 4 1/2 days before needing recharged! Not 7 days as advertised!<br />Then on about the 5th day Sleep tracking started to not record for most of night!<br />Tried different settings for HR and didn’t help!<br />Looked at Samsung for help! Nothing mentioned on Website for this problem!<br />My Fitbit records sleep great but not this Tracker! Very Frustrating!<br />Between fighting band every time I have to charge and Sleep Tracking or lack there of I am Returning and sticking with My Fitbit!<br />IMOP Samsung has a lot of work to do to catch up with Fitbit!<br />Do not Recommend the Galaxy Fit!,230,Yes,Battery Life: battery lasted about 4 1/2 days before needing recharged; took over 2 1/2 hours to charge to 100%,The battery needs to last about 4 1/2 days before needing a recharge. It is acceptable for the battery to take over 2 1/2 hours to charge to 100%.
1,0,Heart Rate Monitor,2,1,Unisex Adult,"I wasn't sure what to expect, but when this came up as a Prime-day deal I couldn't pass it up! It's fun to wear and keeps me on track with messages, reminders and the time. It's also fun to have it count my steps and monitor my workouts. I enjoy it - not sure if you were looking for a more technical review but I am just your average wearer. The battery lasts one day for me and I make sure it's dead before recharging it. It re-charges quickly. It's cute too - I am a woman and I bought the Glacier white.",103,Yes,Battery Life: The battery lasts one day for me and I make sure it's dead before recharging it. It re-charges quickly.,The battery lasts a full day on a single charge. The battery recharges quickly.
2,2,Bluetooth,2,0,,I would rate this Garmin Nuvi GPS 5 stars but I think I received a defective model as the battery wouldn’t hold a charge right out of the box. I would have sent it back for an exchange at the time but I was in the process of moving 2500 miles so it wouldn’t have worked for a different GPS. All features are easy and the lifetime maps are brilliant! I still use this Garmin when needed but it has to remain plugged in at all times while traveling and has to be unplugged before shutting my vehicle off or it causes the GPS to freeze when the ignition is started up and takes forever to get back to the Nav screen.,122,Yes,Battery Life: battery wouldn’t hold a charge right out of the box; has to remain plugged in at all times while traveling,The battery should be able to hold a charge when the product is new. It is acceptable if the battery does not need to be constantly plugged in while traveling.
1,1,"Breath Monitor, Distance Tracker, Activity Tracker, Alarm Clock, Calorie Tracker",2,1,Men,"This is a good deal, long battery life, I use my watch every day to check my sleep and steps I make every day, receive phone calls, text messages, take pic. I love this watch highly recommend",37,Yes,Battery Life: long battery life,The customer needs a smart watch with long battery life.
0,2,"Time Display, GPS, Heart Rate Monitor",2,1,Unisex Adult,"I'm a Garmin fan, i have had a Garmin for years. I love the look and function of this watch. The watch face is versitile and fun to change to my preferences. There are helpful online videos to better understand the watch, which is helpful.<br /><br />The battery life lasts about 4 to 5 days, that is a little annoying, but otherwise, I am enjoying it and LOVE the look!",70,Yes,Battery Life: lasts about 4 to 5 days,The smart watch needs to have a battery that lasts about 4 to 5 days.
